routing_id,finished_sku,finished_product_name,routing_version,operation_id,operation_sequence,operation_name,operation_type,workstation_id,parallel_group_id,predecessor_operation_ids,successor_operation_ids,can_run_in_parallel_flag,join_required_before_next_flag,setup_time_minutes,run_time_minutes_per_unit,move_time_minutes,queue_placeholder_flag,labor_skill_required,machine_type_required,active_flag,advisory_only_flag,notes
RT-BIKE-ROAD-V1,SKU-BIKE-ROAD-001,Road Bike,V1,ROAD-OP-010,10,Frame Preparation,PREP,WS-FRAME-PREP,,,"ROAD-OP-020;ROAD-OP-030",False,False,20,18,5,True,FRAME_TECHNICIAN,FRAME_ALIGNMENT_FIXTURE,True,True,Frame inspection alignment and prep before subassembly fork.
RT-BIKE-ROAD-V1,SKU-BIKE-ROAD-001,Road Bike,V1,ROAD-OP-020,20,Wheel Subassembly,SUBASSEMBLY,WS-WHEEL-SUB,ROAD-PG-01,ROAD-OP-010,ROAD-OP-040,True,False,12,22,5,True,WHEEL_ASSEMBLY_TECHNICIAN,WHEEL_TRUING_STAND,True,True,Wheel build and truing branch runs in parallel with brake prep.
RT-BIKE-ROAD-V1,SKU-BIKE-ROAD-001,Road Bike,V1,ROAD-OP-030,30,Brake Subassembly,SUBASSEMBLY,WS-BRAKE-SUB,ROAD-PG-01,ROAD-OP-010,ROAD-OP-040,True,False,10,16,5,True,BRAKE_ASSEMBLY_TECHNICIAN,BRAKE_ASSEMBLY_TOOLS,True,True,Front and rear brake prep branch runs in parallel with wheel prep.
RT-BIKE-ROAD-V1,SKU-BIKE-ROAD-001,Road Bike,V1,ROAD-OP-040,40,Final Assembly,FINAL_ASSEMBLY,WS-FINAL-ASM,,ROAD-OP-020;ROAD-OP-030,ROAD-OP-050,False,True,18,34,6,True,FINAL_ASSEMBLY_OPERATOR,BIKE_ASSEMBLY_STAND,True,True,Join point for prepared frame wheels brakes pedals and bolt kit.
RT-BIKE-ROAD-V1,SKU-BIKE-ROAD-001,Road Bike,V1,ROAD-OP-050,50,Final Quality Control,QUALITY,WS-QC,,ROAD-OP-040,ROAD-OP-060,False,False,6,14,4,True,QUALITY_INSPECTOR,INSPECTION_TOOLS,True,True,Sequential final inspection after assembly.
RT-BIKE-ROAD-V1,SKU-BIKE-ROAD-001,Road Bike,V1,ROAD-OP-060,60,Packaging,PACKAGING,WS-PACK,,ROAD-OP-050,,False,False,5,12,3,True,PACKAGING_OPERATOR,PACKAGING_TOOLS,True,True,Pack completed road bike for finished goods storage.
RT-BIKE-MT-V1,SKU-BIKE-MT-001,Mountain Bike,V1,MT-OP-010,10,Frame Preparation,PREP,WS-FRAME-PREP,,,"MT-OP-020;MT-OP-030;MT-OP-040",False,False,24,22,5,True,FRAME_TECHNICIAN,FRAME_ALIGNMENT_FIXTURE,True,True,Mountain bike frame prep before parallel subassembly branches.
RT-BIKE-MT-V1,SKU-BIKE-MT-001,Mountain Bike,V1,MT-OP-020,20,Fork and Suspension Prep,PREP,WS-FORK-SUSP,MT-PG-01,MT-OP-010,MT-OP-050,True,False,16,26,5,True,SUSPENSION_TECHNICIAN,FORK_SUSPENSION_BENCH,True,True,Fork and suspension prep branch specific to mountain bike routing.
RT-BIKE-MT-V1,SKU-BIKE-MT-001,Mountain Bike,V1,MT-OP-030,30,Wheel Subassembly,SUBASSEMBLY,WS-WHEEL-SUB,MT-PG-01,MT-OP-010,MT-OP-050,True,False,14,26,5,True,WHEEL_ASSEMBLY_TECHNICIAN,WHEEL_TRUING_STAND,True,True,Mountain wheel branch runs in parallel with fork and brake prep.
RT-BIKE-MT-V1,SKU-BIKE-MT-001,Mountain Bike,V1,MT-OP-040,40,Brake Subassembly,SUBASSEMBLY,WS-BRAKE-SUB,MT-PG-01,MT-OP-010,MT-OP-050,True,False,12,20,5,True,BRAKE_ASSEMBLY_TECHNICIAN,BRAKE_ASSEMBLY_TOOLS,True,True,Brake prep branch for mountain bike final assembly.
RT-BIKE-MT-V1,SKU-BIKE-MT-001,Mountain Bike,V1,MT-OP-050,50,Final Assembly,FINAL_ASSEMBLY,WS-FINAL-ASM,,MT-OP-020;MT-OP-030;MT-OP-040,MT-OP-060,False,True,22,42,6,True,FINAL_ASSEMBLY_OPERATOR,BIKE_ASSEMBLY_STAND,True,True,Join point for frame suspension wheels brakes pedals and bolt kit.
RT-BIKE-MT-V1,SKU-BIKE-MT-001,Mountain Bike,V1,MT-OP-060,60,Final Quality Control,QUALITY,WS-QC,,MT-OP-050,MT-OP-070,False,False,8,18,4,True,QUALITY_INSPECTOR,INSPECTION_TOOLS,True,True,Sequential mountain bike final inspection after assembly.
RT-BIKE-MT-V1,SKU-BIKE-MT-001,Mountain Bike,V1,MT-OP-070,70,Packaging,PACKAGING,WS-PACK,,MT-OP-060,,False,False,6,14,3,True,PACKAGING_OPERATOR,PACKAGING_TOOLS,True,True,Pack completed mountain bike for finished goods storage.
