planning_run_id,from_setup_family_id,to_setup_family_id,workstation_id,machine_type_id,changeover_time_minutes,changeover_complexity,cleaning_required_flag,tool_change_required_flag,quality_check_required_flag,preferred_sequence_flag,avoid_sequence_flag,active_flag,advisory_only_flag,notes,source_phase
PHASE4-MPS-20260726202343,ROAD_FRAME_PREP,ROAD_FRAME_PREP,WS-FRAME-PREP,FRAME_ALIGNMENT_FIXTURE,0,NONE,False,False,False,True,False,True,True,Same family no changeover.,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION
PHASE4-MPS-20260726202343,MTB_FRAME_PREP,MTB_FRAME_PREP,WS-FRAME-PREP,FRAME_ALIGNMENT_FIXTURE,0,NONE,False,False,False,True,False,True,True,Same family no changeover.,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION
PHASE4-MPS-20260726202343,ROAD_FRAME_PREP,MTB_FRAME_PREP,WS-FRAME-PREP,FRAME_ALIGNMENT_FIXTURE,18,MEDIUM,False,True,True,False,False,True,True,Frame jig adjustment between road and mountain frames.,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION
PHASE4-MPS-20260726202343,MTB_FRAME_PREP,ROAD_FRAME_PREP,WS-FRAME-PREP,FRAME_ALIGNMENT_FIXTURE,18,MEDIUM,False,True,True,False,False,True,True,Frame jig adjustment between mountain and road frames.,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION
PHASE4-MPS-20260726202343,ROAD_WHEEL_SUBASSEMBLY,ROAD_WHEEL_SUBASSEMBLY,WS-WHEEL-SUB,WHEEL_TRUING_STAND,0,NONE,False,False,False,True,False,True,True,Same family no changeover.,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION
PHASE4-MPS-20260726202343,MTB_WHEEL_SUBASSEMBLY,MTB_WHEEL_SUBASSEMBLY,WS-WHEEL-SUB,WHEEL_TRUING_STAND,0,NONE,False,False,False,True,False,True,True,Same family no changeover.,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION
PHASE4-MPS-20260726202343,ROAD_WHEEL_SUBASSEMBLY,MTB_WHEEL_SUBASSEMBLY,WS-WHEEL-SUB,WHEEL_TRUING_STAND,10,LOW,False,True,True,False,False,True,True,Wheel truing fixture adjustment.,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION
PHASE4-MPS-20260726202343,MTB_WHEEL_SUBASSEMBLY,ROAD_WHEEL_SUBASSEMBLY,WS-WHEEL-SUB,WHEEL_TRUING_STAND,10,LOW,False,True,True,False,False,True,True,Wheel truing fixture adjustment.,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION
PHASE4-MPS-20260726202343,ROAD_BRAKE_SUBASSEMBLY,ROAD_BRAKE_SUBASSEMBLY,WS-BRAKE-SUB,BRAKE_ASSEMBLY_TOOLS,0,NONE,False,False,False,True,False,True,True,Same family no changeover.,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION
PHASE4-MPS-20260726202343,MTB_BRAKE_SUBASSEMBLY,MTB_BRAKE_SUBASSEMBLY,WS-BRAKE-SUB,BRAKE_ASSEMBLY_TOOLS,0,NONE,False,False,False,True,False,True,True,Same family no changeover.,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION
PHASE4-MPS-20260726202343,ROAD_BRAKE_SUBASSEMBLY,MTB_BRAKE_SUBASSEMBLY,WS-BRAKE-SUB,BRAKE_ASSEMBLY_TOOLS,12,LOW,False,True,True,False,False,True,True,Brake bench tooling adjustment.,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION
PHASE4-MPS-20260726202343,MTB_BRAKE_SUBASSEMBLY,ROAD_BRAKE_SUBASSEMBLY,WS-BRAKE-SUB,BRAKE_ASSEMBLY_TOOLS,12,LOW,False,True,True,False,False,True,True,Brake bench tooling adjustment.,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION
